"jurisdiction","prior_529_deduction_or_credit","529_to_able_treatment","recapture_or_addback_rule","conformity_or_tax_year_note","form_line_reference","confidence","primary_sources","last_updated"
"Minnesota","Yes (credit or subtraction)","Likely nonqualified for state-benefit retention when distribution is not for post-secondary education; explicit ABLE carveout not yet found","Recapture tax applies when Minnesota 529 distribution is used for nonqualified expenses; form computes recapture and flows to return","Current DOR recapture page + TY2025 Schedule M1529 workflow","Schedule M1529 lines 7-15 (recapture calc); line 15 flows to Form M1 line 14","Medium-High","https://www.revenue.state.mn.us/education-savings-account-recapture-tax; https://www.revenue.state.mn.us/education-savings-account-contribution-subtraction; https://www.revenue.state.mn.us/sites/default/files/2025-10/m1529-25-grid.pdf","2026-03-10"
"Mississippi","Unknown","Unknown","Unknown","Unknown","Pending","Low","TBD","2026-03-10"
"Missouri","Unknown","Unknown","Unknown","Unknown","Pending","Low","TBD","2026-03-10"
"Montana","Unknown","Unknown","Unknown","Unknown","Pending","Low","TBD","2026-03-10"
"Nebraska","Unknown","Unknown","Unknown","Unknown","Pending","Low","TBD","2026-03-10"
"Nevada","No state individual income tax","N/A for individual income tax recapture","N/A","No state individual income tax","N/A","High","https://tax.nv.gov/","2026-03-10"
"New Hampshire","No broad wage individual income tax","Likely limited/no personal income tax recapture exposure for wages","N/A/limited","State tax structure changed; verify interest/dividend transition handling separately","N/A","Medium","https://www.revenue.nh.gov/","2026-03-10"
"New Jersey","Yes (income-limited)","Qualified 529/ABLE distributions are excluded; nonqualified distribution earnings are taxable and NJBEST previously deducted contribution amounts are recaptured in income","NJ-1040 instructions include nonqualified 529 and 529A ABLE earnings in taxable interest and separately include NJBEST nonqualified distribution portions attributable to prior NJ deductions","TY2025 NJ-1040 instructions provide line-level treatment and deduction references","NJ-1040 line 16a (taxable interest) and lines 37a-37c (college affordability deductions)","High","https://www.njportal.com/Taxation/NJ1040/Content/Docs/Instructions/Current_NJ1040Instructions.pdf; https://nj.gov/treasury/taxation/individuals/collegededuction.shtml","2026-03-11"
"New Mexico","Unknown","Unknown","Unknown","Unknown","Pending","Low","TBD","2026-03-10"
"New York","Yes","Watchlist only","General recapture concepts known; direct 529->ABLE treatment still unconfirmed from NY tax authority text","Needs NY DTF primary-form validation","Pending","Low","https://www.ny529advisor.com/our-plan/state-tax-benefits","2026-03-10"
"North Carolina","Unknown","Unknown","Unknown","Unknown","Pending","Low","TBD","2026-03-10"
"North Dakota","Unknown","Unknown","Unknown","Unknown","Pending","Low","TBD","2026-03-10"
"Ohio","Yes","Conditional (explicit line logic)","Line-4 addition applies to specific nonqualified 529 distributions with prior Ohio deduction linkage; separate state deduction lines exist for STABLE and 529 contributions","TY2024 form + instruction verification complete","Schedule of Adjustments line 4; deduction lines 20 and 36","High","https://dam.assets.ohio.gov/image/upload/tax.ohio.gov/forms/ohio_individual/individual/2024/it1040-booklet.pdf; https://dam.assets.ohio.gov/image/upload/tax.ohio.gov/forms/ohio_individual/individual/2024/scheduleofadjustments.pdf","2026-03-10"
"Oklahoma","Unknown","Unknown","Unknown","Unknown","Pending","Low","TBD","2026-03-10"
"Oregon","Unknown","Watchlist only","Rule text references recapture mechanics; scenario mapping still open","Needs return-year form-line mapping","Pending","Low","https://oregon.public.law/rules/oar_150-315-0065","2026-03-10"
"Pennsylvania","Yes","Federally exempt IRC 529 distribution rollovers are excluded from PA taxable income; non-educational 529 distributions are taxable","PA-40 instructions direct non-educational 529 distributions to PA Schedule A line 13 and treat federally exempt 529 rollovers as not taxable","TY2024 instructions used as current line-level baseline pending 2025/2026 confirm","PA Schedule A line 13; PA-40 line 10 via PA Schedule O for contribution deductions","Medium-High","https://www.pa.gov/content/dam/copapwp-pagov/en/revenue/documents/formsandpublications/formsforindividuals/pit/documents/2024/2024_pa-40in.pdf","2026-03-11"
"Rhode Island","Unknown","Unknown","Unknown","Unknown","Pending","Low","TBD","2026-03-10"
"South Carolina","Unknown","Unknown","Unknown","Unknown","Pending","Low","TBD","2026-03-10"
"South Dakota","No state individual income tax","N/A for individual income tax recapture","N/A","No state individual income tax","N/A","High","https://dor.sd.gov/","2026-03-10"
"Tennessee","No broad wage individual income tax","Likely limited/no personal income tax recapture exposure for wages","N/A/limited","No broad wage individual income tax","N/A","High","https://www.tn.gov/revenue.html","2026-03-10"
"Texas","No state individual income tax","N/A for individual income tax recapture","N/A","No state individual income tax","N/A","High","https://comptroller.texas.gov/","2026-03-10"
"Utah","Yes (my529 credit and ABLE credit)","Conditional: my529 withdrawals trigger addback unless an IRC 529(c)/530(d) exception applies; explicit ABLE rollover language not found in current extract","Utah TC-40A Part 1 code 54 requires my529 addback for nonqualified withdrawals to extent prior deduction/credit benefited; instructions cite IRC exceptions and carry to return","TY2025 TC-40 instructions used as implementation baseline; ABLE contribution credit exists separately","TC-40A Part 1 code 54 -> TC-40 line 5; TC-40A Part 4 code 63 (ABLE credit)","Medium","https://incometax.utah.gov/additions/my529-addback; https://tax.utah.gov/forms/current/tc-40inst.pdf","2026-03-11"
"Vermont","Unknown","Unknown","Unknown","Unknown","Pending","Low","TBD","2026-03-10"
"Virginia","Unknown","Watchlist only","Recapture warning seen in plan guidance; state tax authority confirmation pending","Needs VA form-line confirmation","Pending","Low","https://www.virginia529.com/blog/transfer-invest529-funds-to-ablenow","2026-03-10"
"Washington","No state individual income tax","N/A for individual income tax recapture","N/A","No state individual income tax","N/A","High","https://dor.wa.gov/","2026-03-10"
"West Virginia","Unknown","Unknown","Unknown","Unknown","Pending","Low","TBD","2026-03-10"
"Wisconsin","Unknown","Unknown","Unknown","Unknown","Pending","Low","TBD","2026-03-10"
"Wyoming","No state individual income tax","N/A for individual income tax recapture","N/A","No state individual income tax","N/A","High","https://revenue.wyo.gov/","2026-03-10"
